question,answer,keywords
"Sometimes it is convenient to construct a system of units so that all quantities can be expressed in terms of only one physical quantity. In one such system, dimensions of different quantities are given in terms of a quantity X as follows: [position] = [𝑋]; [speed] = [𝑋]; [acceleration] =[𝑋p]; [linear momentum] = [𝑋q]; [force] = [𝑋r]. Then -",",B Given L = x ……(1) LT–1 = x ……(2) LT–2 = xp ……(3) MLT–1 = xq ……(4) MLT–2 = xr ……(5) (1) (2)  T = x– From (3)    p 2( ) x x x   + p = 2 (A) From (4) M = xq– From (5)  xq = xr x–   + r – q =  ……(6) Replacing value '' in equation (6) from (A) 2 – p + r – q =   p + q – r =  (B) Replacing value of '' in equation (6) from (A) 2 + 2r – 2q =  + p  = p + 2q – 2r",mechanics dimensional analysis momentum
"A uniform electric field, E = − 400 ˆ3yNC−1 is applied in a region. A charged particle of mass m carrying positive charge q is projected in this region with an initial speed of 2 10 × 106 ms−1. This particle is aimed to hit a target T, which is 5 m away from its entry point into the field as shown schematically in the figure. Take q m =1010 Ckg−1. Then- 10",",C Sol. ay = – 400 3× 1010 [qEy = may] R = 5 = 12 10 40 10 sin2 400 3 10               2 y u sin2 R range a sin 2 = 3 2 2 = 60°, 120   = 30°, 60° Time of flight 6 1 10 1 2 2 10 10 5 2 T µs 6 400 3 10       (for  = 30°) Time of flight       6 2 10 3 2 2 10 10 5 2 T µs 2 400 3 10 (for  = 60°)",mechanics electromagnetism optics electric_field
"As shown schematically in the figure, two vessels contain water solutions (at temperature 𝑇) of potassium permanganate (KMnO4) of different concentrations 𝑛1 and 𝑛2 (𝑛1 > 𝑛2) molecules per unit volume with 𝑛 = (𝑛1 − 𝑛2) ≪ 𝑛1. When they are connected by a tube of small length  and cross-sectional area S, KMnO4 starts to diffuse from the left to the right vessel through the tube. Consider the collection of molecules to behave as dilute ideal gases and the difference in their partial pressure in the two vessels causing the diffusion. The speed v of the molecules is limited by the viscous force −v on each molecule, where  is a constant. Neglecting all terms of the order (𝑛)2, which of the following is/are correct? (𝑘𝐵 is the Boltzmann constant)-",",B,C Sol. 1 1 2 n (n n ) n    1 1 A nRT p N  2 2 A nRT p N  F = (n1 – n2)kBTS = nkBTS (A) B nkTS V    Force balance  Pressure × Area = Total number of molecules × v    B 1 nkTS nS v  1 B n v nkT   (B) Total number of molecules/sec = 1 (nvdt)S dt B 1 nkTvS nvS v     B n kT S              (C) As n will decrease with time therefore rate of molecules getting transfer decreases with time.",mechanics thermodynamics modern physics fluid mechanics dimensional analysis ideal_gas
"When water is filled carefully in a glass, one can fill it to a height h above the rim of the glass due to the surface tension of water. To calculate h just before water starts flowing, model the shape of the water above the rim as a disc of thickness h having semicircular edges, as shown schematically in the figure. When the pressure of water at the bottom of this disc exceeds what can be withstood due to the surface tension, the water surface breaks near the rim and water starts flowing from there. If the density of water, its surface tension and the acceleration due to gravity are 103kg m−3, 0.07 Nm−1 and 10 ms−2, respectively, the value of h (in mm) is _________.-",3.74 Sol. h/2 r = h/2 Pressure at the bottom of disc = pressure due to surface tension gh = 1 2 1 1 T R R        R1 >>> R2 So  1 2 1 1 R R and R2 = h/2                  1 2 1 1 1 gh T T0 R R h/2 h2 =  2T g h =        3 4 2T 2 0.07 14 100 g 10 10 10 100 h = 14mm 3.741 ,mechanics thermodynamics fluid mechanics
"A stationary tuning fork is in resonance with an air column in a pipe. If the tuning fork is moved with a speed of 2 ms−1 in front of the open end of the pipe and parallel to it, the length of the pipe should be changed for the resonance to occur with the moving tuning fork. If the speed of sound in air is 320 ms−1, the smallest value of the percentage change required in the length of the pipe is ____________. -","0.62 TO 0.63Sol.  1 1 f   1 k f …. (1) (1  initial length of pipe)        T 2 V k f V V   T 2 VSpeedoftuningfork, newlengthofpipe} ……(2) (1)  (2) T 2 1 V V V   2 T 1 V V 1 1 V     2 1 T 1 V V          2 1 1 2 100 100 0.625 320 Therefore smallest value of percentage change required in the length of pipe is 0.625",waves resonance
"A circular disc of radius 𝑅 carries surface charge density (𝑟)= 0 r 1 R        , where 0 is a constant and 𝑟 is the distance from the center of the disc. Electric flux through a large spherical surface that encloses the charged disc completely is 0. Electric flux through another spherical surface of radius R 4 and concentric with the disc is . Then the ratio 0  is_________. -",6.40                      R/4 0 0 0 0 r 1 2 rdr dq R  R 2 0 0 0 R/4 2 0 0 r 2 r dr R r 2 r dr R                        =     2 2 2 2 R R 32 2 3 R R 5 32 3 64 = 6.40,mechanics electromagnetism fluid mechanics flux
"One end of a horizontal thick copper wire of length 2L and radius 2R is welded to an end of another horizontal thin copper wire of length L and radius R. When the arrangement is stretched by applying forces at two ends, the ratio of the elongation in the thin wire to that in the thick wire is","Sol. (C) F F 2L, 2R L, R 2 2 1 2 4Rx Ry k ,k 2L L     1 2 F kx k y    1 2 k y x k = 2",mechanics
"The work done on a particle of mass m by a force 2 2 3/2 2 2 3/2 x y ˆ ˆ K i j (x y ) (x y )          (K being a constant of appropriate dimensions, when the particle is taken from the point (a, 0) to the point (0, a) along a circular path of radius a about the origin in the x-y plane is",soln (d) dw Fdr F (dxi dyj)         2 2 3/2 2 2 3/2 xdx ydy K (x y ) (x y )      2 2 2 x y a   w 0 a 3 a 0 K xdx ydy a     2 2 3 K a a 2 2 a            = 0.,mechanics dimensional analysis
"Two rectangular blocks, having identical dimensions, can be arranged either in configuration I or in configuration II as shown in the figure. One of the blocks has thermal conductivity and the other 2. The temperature difference between the ends along the x-axis is the same in both the configurations. It takes 9 s to transport a certain amount of heat from the hot end to the cold end in the configuration I. The time to transport the same amount of heat in the configuration II is 2   2   Configuration I Configuration II x",R A 2A 2A       2 1 1 1 3A L L R L A 2A                   2 L R 3A   1 2 Q Q   1 2 1 2 T T t t R R     2 2 1 1 R t t R = 2 sec.,mechanics thermodynamics dimensional analysis
"A ray of light travelling in the direction 1 ˆ ˆ (i 3j) 2  is incident on a plane mirror. After reflection, it travels along the direction 1 ˆ ˆ (i 3j). 2  The angle of incidence is",. Let angle between the directions of incident ray and reflected ray be  1 1 ˆ ˆ ˆ ˆ cos (i 3j) (i 3j) 2 2     1 cos 2  120 ,optics
The diameter of a cylinder is measured using a Vernier callipers with no zero error. It is found that the zero of the Vernier scale lies between 5.10 cm and 5.15 cm of the main scale. The Vernier scale has 50 divisions equivalent to 2.45 cm. The 24th division of the Vernier scale exactly coincides with one of the main scale divisions. The diameter of the cylinder is,. Main scale division (s) = .05 cm Vernier scale division (v) = 49 100 = .049 Least count = .05 – .049 = .001 cm Diameter: 5.10 + 24 × .001 = 5.124 cm,dimensional analysis
"Two non-reactive monoatomic ideal gases have their atomic masses in the ratio 2 : 3. The ratio of their partial pressures, when enclosed in a vessel kept at a constant temperature, is 4 : 3. The ratio of their densities is",.PV = nRT = mRT M  PM = RT 1 1 1 1 1 2 2 2 2 2 PM P M 4 2 8 PM P M 3 3 9                     Here 1 and 2 are the densities of gases in the vessel containing the mixture.,mechanics thermodynamics modern physics fluid mechanics ideal_gas
"In the Young’s double slit experiment using a monochromatic light of wavelength , the path difference (in terms of an integer n) corresponding to any point having half the peak intensity is",. I I cos 2 2         1 cos 2 2         2 4       2n 1 2     x 2     = (2n 1) (2n 1) 2 2 4        ,optics waves
"The image of an object, formed by a plano-convex lens at a distance of 8 m behind the lens, is real and is one-third the size of the object. The wavelength of light inside the lens is 2 3 times the wavelength in free space. The radius of the curved surface of the lens is",.     1 1 1 f R 2R     1 1 1 f v u   24 m 8 m  1 1 1 8 24 2R     3 1 1 24 2R    R = 3 m,optics waves
"A particle of mass m is projected from the ground with an initial speed u0 at an angle  with the horizontal. At the highest point of its trajectory, it makes a completely inelastic collision with another identical particle, which was thrown vertically upward from the ground with the same initial speed u0. The angle that the composite system makes with the horizontal immediately after the collision is","45 degree.Velocity of particle performing projectile motion at highest point = v1 = v0cos  Velocity of particle thrown vertically upwards at the position of collision 2 2 = v 2 2 2 u sin u 2g 2g  0   = 0 v cos So, from conservation of momentum mv cos tan   0 mu cos    1",mechanics elastic projectile_motion conservation
A pulse of light of duration 100 ns is absorbed completely by a small object initially at rest. Power of the pulse is 30 mW and the speed of light is 3  108 m/s. The final momentum of the object is,". t = 100 10  9 Momentum = sec, P 30 10   Watt,   Pt 30 10 100 10 C (B) 9.0  1017 kg ms1 3  3   C C 10 8   m/s  9  3 10 8 = 1.0  1017 kg ms1",mechanics optics momentum
"S1 is pressed first to fully charge the capacitor C1 and then released. The switch S2 is then pressed to charge the capacitor C2. After some time, S2 is released and then S3 is pressed. After some time,",".D.After switch S1 is closed, C1 is charged by 2CV0, when switch S2 is closed, C1 and C2 both have upper plate charge CV0. When S3 is closed, then upper plate of C2 becomes charged by CV0 and lower plate by +CV0.",electromagnetism
"A particle of mass M and positive charge Q, moving with a constant velocity 1 1 ˆ u 4ims  , enters a region of uniform static magnetic field normal to the x-y plane. The region of the magnetic field extends from x = 0 to x = L for all values of y. After passing through this region, the particle emerges on the other side after 10 milliseconds with a velocity   2 ˆ ˆ u 2 3i j    m/s1. The correct statement(s) is (are)",",C. So magnetic field is along ve, z-direction. Time taken in the magnetic field = 3 M 10 10 6QB     3 M 1000M B 60Q 60 10 Q      = 50M 3Q",mechanics electromagnetism dimensional analysis magnetic_field
"A horizontal stretched string fixed at two ends, is vibrating in its fifth harmonic according to the equation y(x, t) = 0.01m sin [(62.8m1)x] cos[(628s1)t]. Assuming  = 3.14, the correct statement(s) is (are)",",C y = 0.01 m sin (20 x) cos 200 t no. of nodes is 6 20  = 2   = 1 m 10 = 0.1 m length of the spring = 1 0.5 2 = 0.25 Mid point is the antinode Frequency at this mode is f = 200 100Hz 2     Fundamental frequency = 100 20Hz",mechanics optics waves
A solid sphere of radius R and density  is attached to one end of a mass-less spring of force constant k. The other end of the spring is connected to another solid sphere of radius R and density 3. The complete arrangement is placed in a liquid of density 2 and is allowed to reach equilibrium. The correct statement(s) is (are),",D A solid sphere of radius R and density  is attached to one end of a mass-less spring of force constant k. The other end of the spring is connected to another solid sphere of radius R and density 3. The complete arrangement is placed in a liquid of density 2 and is allowed to reach equilibrium. The correct statement(s) is (are) (A)the net elongation of the spring is 3 4R g 3k   (B)the net elongation of the spring is 3 8R g 3k   (C)the light sphere is partially submerged. (D)the light sphere is completely submerged.",mechanics optics fluid mechanics
